Track URI,song_name,cover_artist_id,cover_artist_name,cover_release_year,cover_song_popularity,control_artists_name,cover_artists_popularity,cover_artists_followers,original_song_artist ,original_release_year,original_song_popularity,control_song_name
spotify:track:1VM2XA1Q5ijgYmaWqCIoyi,In the Air Tonight,7dWw3TXxNe2aEhng9vVRNl,Axel Rudi Pell,2007,38,Axel Rudi Pell,51,102110,Queen,1982,82,In the Air Tonight
spotify:track:2GV039LpIeFtgTKKIZPrf0,In the Air Tonight,6BdSOHfQ6kMg0tbAFlXR1z,Nonpoint,2004,60,Nonpoint,60,380220,Queen,1982,82,In the Air Tonight
spotify:track:6wl8vrSR56Tm7GSXjAVP91,In the Air Tonight,6tbLPxj1uQ6vsRQZI2YFCT,In This Moment,2017,50,In This Moment,65,1074115,Queen,1982,82,In the Air Tonight
spotify:track:4SuL9N5c4E7lMWNuJRhzYj,The K.K.K. Took My Baby Away,4l9ufn9GC6LLYXvIanDlLd,Face To Face,2001,24,Face To Face,51,147456,Ramones,1981,53,The K.K.K. Took My Baby Away
spotify:track:1u91c6NdkYVznTw13kWOaS,London Dungeon,1pXT9wt3jNgkk4AVvAydBm,Ghoultown,2008,20,Ghoultown,41,36549,Misfits,1981,54,London Dungeon
spotify:track:6vSbzWNUeG5gafvZL4z7c2,London Dungeon,18jFO6Z2Bpdv5jp8mXfChN,Throwdown,2020,16,Throwdown,39,67405,Misfits,1981,54,London Dungeon
spotify:track:5zVY1h1jUFLhZ7fLBjMTK7,Open Arms,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,1995,57,Mariah Carey,90,7345595,Journey,1981,71,Open Arms
spotify:track:4Jur2Al4pmcv2Zr96sQhyz,Halloween,7w9jdhcgHNdiPeNPUoFSlx,Dropkick Murphys,2005,18,Dropkick Murphys,66,1046366,Misfits,1981,51,Halloween
spotify:track:4zzi2eD2cEPpQ3a307mPPj,Billie Jean,6J7rw7NELJUCThPbAfyLIE,The Civil Wars,2012,60,The Civil Wars,63,784030,Michael Jackson,1982,86,Billie Jean
spotify:track:3t4p9vIhemAhCMr6hfL2pa,Billie Jean,0XHiH53dHrvbwfjYM7en7I,Chris Cornell,2007,56,Chris Cornell,65,1701401,Michael Jackson,1982,86,Billie Jean
spotify:track:4Ywv7NnJfmhrlygjGSsRe0,The Wind Beneath My Wings,5YeoQ1L71cXDMpSpqxOjfH,Sonata Arctica,2003,38,Sonata Arctica,58,517024,Roger Whittaker,1982,37,The Wind Beneath My Wings
spotify:track:2Pxqs0WmxxHTV5QaTdmt3Q,Wind Beneath My Wings,13y0kncDD4J9wxCyfKr10W,Bette Midler,1988,68,Bette Midler,64,557688,Roger Whittaker,1982,37,Wind Beneath My Wings
spotify:track:3WkEeCi2aDHLRq4yhakCnx,How Do You Keep The Music Playing ,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,2019,23,Frank Sinatra,89,5295998,James Ingram,1983,56,How Do You Keep The Music Playing 
spotify:track:4LTa2DALHWoAvFKQwsRugj,How Do You Keep The Music Playing,2lolQgalUvZDfp5vvVtTYV,Tony Bennett,2011,46,Tony Bennett,78,703125,James Ingram,1983,56,How Do You Keep The Music Playing
